elapsed,avgmem,maxmem,exitstatus,algorithm,tree,n_leaves,k
17.04,0,941328,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random001.tre,1000,1
20.86,0,944336,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random001.tre,1000,101
31.75,0,944320,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random001.tre,1000,201
39.34,0,980048,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random001.tre,1000,301
37.84,0,1118960,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random001.tre,1000,401
42.15,0,1382000,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random001.tre,1000,501
44.98,0,1437984,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random001.tre,1000,601
46.13,0,1437952,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random001.tre,1000,701
45.60,0,1437968,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random001.tre,1000,801
49.18,0,1437968,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random001.tre,1000,901
10.82,0,952016,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random002.tre,1000,1
15.51,0,959088,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random002.tre,1000,101
26.10,0,959136,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random002.tre,1000,201
35.42,0,1277696,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random002.tre,1000,301
47.40,0,2090656,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random002.tre,1000,401
57.57,0,2243536,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random002.tre,1000,501
62.16,0,3007024,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random002.tre,1000,601
72.18,0,3034224,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random002.tre,1000,701
82.12,0,3406304,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random002.tre,1000,801
88.08,0,3604272,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random002.tre,1000,901
9.78,0,933632,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random003.tre,1000,1
14.35,0,935888,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random003.tre,1000,101
28.10,0,935888,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random003.tre,1000,201
32.78,0,1293696,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random003.tre,1000,301
43.90,0,1629264,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random003.tre,1000,401
50.56,0,2202640,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random003.tre,1000,501
52.99,0,2247008,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random003.tre,1000,601
54.69,0,2238560,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random003.tre,1000,701
54.92,0,2238544,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random003.tre,1000,801
57.10,0,2238592,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random003.tre,1000,901
13.33,0,967472,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random004.tre,1000,1
19.20,0,969456,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random004.tre,1000,101
30.59,0,969456,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random004.tre,1000,201
40.47,0,1559872,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random004.tre,1000,301
45.73,0,1575680,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random004.tre,1000,401
51.75,0,1564080,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random004.tre,1000,501
54.37,0,1564080,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random004.tre,1000,601
53.92,0,1564096,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random004.tre,1000,701
52.97,0,1545680,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random004.tre,1000,801
58.87,0,1545680,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random004.tre,1000,901
10.04,0,908960,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random005.tre,1000,1
14.06,0,982368,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random005.tre,1000,101
28.13,0,1533024,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random005.tre,1000,201
39.98,0,2552672,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random005.tre,1000,301
50.44,0,3413680,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random005.tre,1000,401
54.34,0,3883824,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random005.tre,1000,501
68.84,0,4254368,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random005.tre,1000,601
66.51,0,4429664,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random005.tre,1000,701
70.41,0,4437632,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random005.tre,1000,801
63.16,0,4437664,0,full,/home/cmccoy/development/nestly/examples/adcl/trees/random005.tre,1000,901
6.04,0,471664,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random001.tre,1000,1
17.78,0,471648,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random001.tre,1000,101
26.52,0,471680,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random001.tre,1000,201
30.92,0,471680,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random001.tre,1000,301
32.96,0,471632,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random001.tre,1000,401
32.71,0,471664,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random001.tre,1000,501
29.74,0,471680,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random001.tre,1000,601
25.15,0,471664,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random001.tre,1000,701
18.10,0,471680,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random001.tre,1000,801
10.32,0,471856,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random001.tre,1000,901
5.99,0,472640,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random002.tre,1000,1
24.55,0,472640,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random002.tre,1000,101
25.73,0,472640,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random002.tre,1000,201
39.72,0,472656,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random002.tre,1000,301
32.51,0,472672,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random002.tre,1000,401
44.09,0,472624,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random002.tre,1000,501
29.65,0,472640,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random002.tre,1000,601
24.81,0,472640,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random002.tre,1000,701
18.29,0,472704,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random002.tre,1000,801
7.34,0,472896,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random002.tre,1000,901
5.94,0,471280,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random003.tre,1000,1
17.56,0,471296,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random003.tre,1000,101
26.64,0,471344,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random003.tre,1000,201
30.41,0,471328,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random003.tre,1000,301
45.08,0,471344,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random003.tre,1000,401
32.06,0,471328,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random003.tre,1000,501
29.07,0,471344,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random003.tre,1000,601
25.20,0,471328,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random003.tre,1000,701
18.11,0,471312,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random003.tre,1000,801
6.81,0,471488,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random003.tre,1000,901
6.04,0,471440,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random004.tre,1000,1
17.88,0,471456,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random004.tre,1000,101
25.73,0,471456,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random004.tre,1000,201
30.87,0,471472,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random004.tre,1000,301
33.65,0,471456,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random004.tre,1000,401
33.10,0,471472,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random004.tre,1000,501
29.31,0,471472,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random004.tre,1000,601
32.72,0,471456,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random004.tre,1000,701
18.42,0,471456,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random004.tre,1000,801
6.92,0,471648,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random004.tre,1000,901
5.94,0,470592,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random005.tre,1000,1
22.93,0,470608,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random005.tre,1000,101
26.18,0,470592,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random005.tre,1000,201
30.28,0,470592,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random005.tre,1000,301
43.90,0,470608,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random005.tre,1000,401
30.91,0,470592,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random005.tre,1000,501
29.92,0,470608,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random005.tre,1000,601
16.60,0,470560,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random005.tre,1000,701
18.10,0,470592,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random005.tre,1000,801
6.73,0,470784,0,pam,/home/cmccoy/development/nestly/examples/adcl/trees/random005.tre,1000,901
